Estados;UF;Celular;Conversor Digital;Modem TV Internet;Notebook;Receptor de TV por assinatura;Roteador WIFI;Ventilador de Teto;Ventilador ou Circulador de Ar;Freezer;Ar Condicionado;Microondas;Consumo residencial por UF (2019);Densidade de moradores por comodo;Rendimento Medio Anual;Duas ou mais TV tela fina;Geladeira
Acre;AC;0,97;0,1;0,23;0,18;0,18;0,13;0,04;0,72;0,12;0,26;0,26;491;0,72;1032;23,2;91,8
Alagoas;AL;0,98;0,19;0,5;0,15;0,05;0,01;0;0,88;0,02;0,04;0,4;1825;0,548;794;18,1;97,2
Amapa;AP;0,98;0,2;0,35;0,17;0,03;0,03;0,02;0,81;0,22;0,32;0,25;525;0,843;976;29,4;94,2
Amazonas;AM;0,97;0,18;0,26;0,17;0,14;0,03;0,01;0,94;0,1;0,43;0,27;2037;0,83;908;32,1;91,4
Bahia;BA;0,97;0,21;0,45;0,21;0,12;0,03;0,03;0,7;0,05;0,04;0,45;7342;0,51;1008;21,5;95,4
Ceara;CE;0,95;0,24;0,33;0,18;0,1;0,13;0,01;0,87;0,08;0,06;0,36;4586;0,559;1098;29,1;97,3
Distrito Federal;DF;0,94;0,15;0,52;0,17;0,1;0,05;0,02;0,34;0,47;0,03;0,64;2252;0,503;2834;47,1;99,3
Espirito Santo;ES;0,83;0,1;0,23;0,23;0,18;0,11;0,27;0,59;0,36;0,1;0,6;2624;0,503;1576;30,5;99,3
Goias;GO;0,98;0,16;0,63;0,3;0,15;0;0;0,8;0,05;0,11;0,63;5115;0,495;1491;24,2;98,6
Maranhao;MA;0,99;0,13;0,23;0,13;0,05;0,09;0;0,93;0,14;0,05;0,24;3304;0,639;743;15,1;96,3
Mato Grosso;MT;0,99;0,04;0,59;0,26;0,18;0,01;0,07;0,94;0,07;0,22;0,53;3100;0,539;1580;22,3;98,9
Mato Grosso do Sul;MS;0,88;0,1;0,52;0,29;0,21;0,05;0,11;0,76;0,13;0,28;0,52;2150;0,513;1709;27,4;98,9
Minas Gerais;MG;0,96;0,09;0,38;0,38;0,17;0,17;0,09;0,61;0,17;0,04;0,59;11322;0,453;1521;31,4;98,8
Para ;PA;0,92;0,25;0,1;0,2;0,08;0,06;0,03;0,84;0,17;0,12;0,15;3612;0,758;936;22,9;90,9
Paraiba;PB;0,98;0,09;0,3;0,13;0,05;0,2;0,01;0,79;0,1;0,05;0,35;2021;0,522;1028;29,1;97,4
Parana;PR;0,91;0,17;0,42;0,28;0,19;0,15;0,08;0,63;0,15;0,1;0,72;7737;0,471;1862;37,6;99,4
Pernambuco;PE;0,97;0,21;0,46;0,19;0,07;0,08;0,01;0,91;0,07;0,07;0,45;5164;0,532;1059;23,4;97,2
Piaui;PI;0,98;0,14;0,24;0,15;0,03;0,1;0,01;0,94;0,16;0,09;0,22;1776;0,53;916;21,7;96,4
Rio de Janeiro;RJ;0,95;0,15;0,33;0,35;0,26;0,14;0,44;0,76;0,39;0,48;0,66;13270;0,511;1989;44,9;99,5
Rio Grande do Norte;RN;0,97;0,2;0,36;0,17;0,23;0,12;0,01;0,9;0,15;0,05;0,34;2229;0,551;1229;31,3;98,3
Rio Grande do Sul;RS;0,97;0,24;0,36;0,42;0,5;0,15;0,17;0,54;0,16;0,24;0,9;9045;0,465;2038;44,2;99,5
Rondonia;RO;0,96;0,04;0,1;0,21;0,04;0,08;0,02;0,88;0,07;0,33;0,33;1291;0,568;1275;20,7;98,5
Roraima;RR;0,95;0,18;0,16;0,15;0,14;0,08;0,04;0,88;0,11;0,36;0,18;446;0,809;1162;27,3;92,9
Santa Catarina;SC;0,96;0,04;0,55;0,27;0,24;0,16;0,04;0,69;0,22;0,35;0,78;6102;0,451;1971;42,6;99,6
Sao Paulo;SP;0,86;0,08;0,28;0,22;0,23;0,14;0,16;0,49;0,32;0,07;0,7;41150;0,52;2131;42,4;99,2
Sergipe;SE;0,99;0,12;0,5;0,19;0,08;0,02;0,01;0,82;0,01;0,04;0,36;1213;0,504;1066;23,7;96,3
Tocantins;TO;0,99;0,12;0,47;0,23;0,06;0;0,03;0,91;0,04;0,23;0,36;1050;0,55;1155;17,9;97,8
